,rank,name
0,1,Icing On The Cake
1,2,완미세계
2,3,Brain Out – 가장 어색한 게임
3,4,Rescue Cut - Rope Puzzle
4,5,Zipline Valley - 물리학 퍼즐 게임
5,6,콜 오브 듀티: 모바일
6,7,로드 크래쉬
7,8,신강호
8,9,달빛조각사
9,10,판타지타운
10,11,브롤스타즈
11,12,무한의 계단
12,13,Rolling Domino
13,14,라이즈 오브 킹덤즈
14,15,I Peel Good
15,16,Soul Land: 엘피스 전기
16,17,꿈의 집 (Homescapes)
17,18,꽃피는 달빛
18,19,기적의 검
19,20,꿈의 정원 (Gardenscapes)
20,21,Puzzle Fuzzle
21,22,킹 오브 타워
22,23,Wrecking Ball
23,24,동물극장 - 귀여운 동물들과 영화보며 힐링
24,25,3차원 채우기 (Fill in 3D)
25,26,봉인의서
26,27,Perfect Slices
27,28,배틀그라운드
28,29,궁수의 전설
29,30,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
30,31,ROBLOX
31,32,쿠키런: 오븐브레이크
32,33,Minecraft 체험판
33,34,Draw Around
34,35,Magic Tiles 3
35,36,꿈의 마을 (Township)
36,37,오늘도 우라라 원시 헌팅 라이프
37,38,Line Driver
38,39,Cool Goal!
39,40,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
40,41,바이러스 워 - 우주 슈팅 게임
41,42,리치리치
42,43,워드퍼즐 - 단어 게임
43,44,Sand Balls
44,45,Dancing Road: Color Ball Run!
45,46,용사식당
46,47,좀비고등학교
47,48,"좋은 피자, 위대한 피자"
48,49,Zooba - 동물원 배틀 아레나
49,50,올스타 스매시
50,51,Granny Legend
51,52,aquapark.io
52,53,무한의 농장
53,54,클래시 로얄
54,55,Rider
55,56,롤링 스카이
56,57,지오메트리 대시 라이트 (Geometry Dash L)
57,58,토킹톰 히어로 대시
58,59,Fun Race 3D
59,60,Color Saw 3D
60,61,신비아파트 고스트헌터
61,62,펭귄의 섬
62,63,토킹톰 골드런
63,64,로얄 다이스(Royal Dice) : 랜덤 디펜스
64,65,동물의 집
65,66,이터:던전의 포식자
66,67,익스트림풋볼:3대3 멀티 축구
67,68,Mr Bullet - 스파이 퍼즐
68,69,Square Bird
69,70,Mario Kart Tour
70,71,피망 뉴맞고 : 고스톱으로 대한민국 1등
71,72,Dinosaur Rampage
72,73,브롤 스타즈 상자깡 버그판 마인크래프트 게임 고양이 Brawl Stars
73,74,세인트 세이야 : 각성
74,75,Empires & Puzzles: RPG Quest
75,76,1945
76,77,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
77,78,숨바꼭질 온라인 - 실시간 숨바꼭질
78,79,Crowd City
79,80,스도쿠 - 무료 클래식 스도쿠 퍼즐
80,81,Happy Glass
81,82,Tiles Hop: EDM Rush!
82,83,Paper.io 2
83,84,슈퍼펭귄 (Super Penguins)
84,85,Kick the Buddy: Forever
85,86,Bouncemasters!
86,87,OX 퀴즈 서바이벌 100
87,88,Run Race 3D
88,89,Nonogram.com - 픽처 크로스 퍼즐 게임
89,90,Rummikub
90,91,마피아42
91,92,무한의 기차
92,93,FIFA ONLINE 4 M by EA SPORTS™
93,94,Piano Tiles 2™
94,95,Popcorn Burst
95,96,Draw it
96,97,팽이로 보석캐기
97,98,Soul Knight
98,99,LoL 프렌즈
99,100,광산타이쿤 - 방치형 광산 매니저
